Planilha: 00011 - TUNEL SUBMERSO SIGMA P82                                    ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
IM1635,"ELETRODUTO DE AÇO GALVANIZADO A FOGO, ROSCA BSP, TIPO PESADO, CONFORME NBR-5598, COM LUVA EM UMA DAS EXTREMIDADES, FORNECIDO EM BARRAS DE 3.000MM DE COMPRIMENTO, INCLUSIVE CONEXÕES E CAIXAS, Ø3/4""  ",M     ,2840,            ,21.1,59924,0.01,99.21,0,54.8
IM1576,INTERFACE ÓPTICA TIPO MÓDULO P/ ETHERNET TCP/IP  ,UN    ,424,            ,138.53,58736.72,0.01,99.22,0,54.8
IM1381,CABO DE COBRE 35 MM² - ISOLAMENTO PARA 1 KV  ,M     ,9660,            ,6.04,58346.4,0.01,99.23,0,54.8
IM1099,MATERIAL ELÉTRICO - CONDUTORES E PAINEIS  ,VB    ,5.803158,            ,10000,58031.58,0.01,99.24,0,54.8
IM1529,CENTRAL DE COMUNICAÇÃO DE BOMBEIROS  ,CJ    ,2,            ,28814.22,57628.44,0.01,99.25,0,54.8
IM1527,CAIXAS DE PASSAGEM - TIPO PI (700X700X1000mm)  ,CJ    ,193,            ,296.87,57295.91,0.01,99.26,0,54.8
IM1640,"CONDUTORES DE COBRE, ISOLAÇÃO 760V, BAIXA EMISSÃO DE GASES TÓXICOS QUANDO QUEIMAR, SEÇÃO, 25MM2  ",M     ,5410,            ,10.55,57075.5,0.01,99.27,0,54.8
IM1865,FURO EM CONCRETO Ø40mm PARA CHUMBADORES DE ø32  ,M     ,456,            ,125.16,57072.96,0.01,99.28,0,54.8
IM1480,"QUADRO DE DISTRIBUIÇÃO PARCIAL DE TENSÃO ESTABILIZADA PARA COMANDO ""QDE-4.1.1, QDE-4.1.2, QDE-4.1.3, QDE-4.2.1, QDE-4.2.2 e QDE-4.2.3"", 220/127V, COMPLETO COM DISJUNTORES, CONFORME DOC. ESPECIFICAÇÃO TÉCNICA – EQUIPAMENTO ELÉTRICO E DIAGRAMA UNIFILAR.  ",CJ    ,6,            ,9485.54,56913.24,0.01,99.29,0,54.8
IM1418,"CABO FLEXÍVEL ISOLAMENTO DE PVC 1KV, BAIXA EMISSÃO DE GASES TÓXICOS, SEÇÃO: 5/CØ1,5MM²  ",M     ,6750,            ,8.35,56362.5,0.01,99.3,0,54.8
IM1925,MATERIAIS DIVERSOS  ,VB    ,5619.696177,            ,10,56191.57,0.01,99.31,0,54.8
IM1479,"QUADRO DE DISTRIBUIÇÃO PARCIAL DE TENSÃO ESTABILIZADA PARA COMANDO ""QDE-2.1.1, QDE-2.1.2, QDE-2.1.3, QDE-2.2.1, QDE-2.2.2 e QDE-2.2.3"", 220/127V, COMPLETO COM DISJUNTORES, CONFORME DOC. ESPECIFICAÇÃO TÉCNICA – EQUIPAMENTO ELÉTRICO E DIAGRAMA UNIFILAR.  ",CJ    ,6,            ,9251.45,55508.7,0.01,99.32,0,54.8
IM1452,"LUMINÁRIA PÚBLICA LE111, DE LED (POTÊNCIA DE 109 A 121W) -100W  ",CJ    ,75,            ,725.68,54426,0.01,99.33,0,54.8
IM1907,ALVEOLIT - ESPESSURA DE 20MM  ,M2    ,1220,            ,44.41,54180.2,0.01,99.34,0,54.8
IM1404,"ELETRODUTO DE AÇO GALVANIZADO A FOGO, ROSCA BSP, TIPO PESADO, CONFORME NBR-5598, COM LUVA EM UMA DAS EXTREMIDADES, FORNECIDO EM BARRAS DE 3000 MM DE COMPRIMENTO, BITOLA Ø3”  ",M     ,1610,            ,33.44,53838.4,0.01,99.35,0,54.8
IM1769,"FP.01 - GRADIL DE FERRO PERFILADO, TIPO PARQUE SEM MURETA - GP-5/DEPAVE  ",M     ,84.5,            ,613.45,51836.53,0.01,99.36,0,54.8
IM1594,"SUBBASTIDOR PARA MÓDULOS DE DETECÇÃO AUTOMÁTICA DE INCIDENTES PADRÃO RACK 19""  ",UN    ,8,            ,6455.99,51647.92,0.01,99.37,0,54.8
IM1549,"CONJUNTO DE CENTRAL DE MEGAFONIA (MATRIZ), COMPLETO E INSTALADO, COMPOSTO DE CPU PADRÃO 19"" E CONSOLE DE SOM.  ",CJ    ,1,            ,51414.5,51414.5,0.01,99.38,0,54.8
IM1390,"LUMINÁRIA TIPO SOBREPOR COM REFLETOR EM CHAPA DE AÇO TRATADA E PINTURA ELETROSTÁTICA BRANCA, CORPO EM POLIÉSTER REFORÇADO COM FIBRA DE VIDRO, DIFUSOR EM ACRÍLICO DE ALTO IMPACTO, PARA DUAS LÂMPADAS FLUORESCENTES TUBULARES DE 32 W, COM REATOR ALOJADO NO CORPO.  ",CJ    ,361,            ,142.1,51298.1,0.01,99.39,0,54.8
IM1681,"FORNECIMENTO, INSTALAÇÃO, TESTE E COMISSIONAMENTO DE TELEFONE DE EMERGÊNCIA P/ BOMBEIRO.  ",CJ    ,30,            ,1665.2,49956,0.01,99.4,0,54.8
IM1860,TELA NYLON P/ REVESTIMENTO POÇO FILTRANTE  ,M2    ,9538.92,            ,5.23,49888.55,0.01,99.41,0,54.8
IM1592,"SOFTWARE E LICENÇA PARA INTEGRAR E COMUNICAR COM OS CALL BOXES, INSTALADO NA ESTAÇÃO 2 DE TODOS OS SISTEMAS.  ",CJ    ,1,            ,49478.81,49478.81,0.01,99.42,0,54.8
IM1719,CA.09 - CAIXILHO EM ALUMÍNIO ANODIZADO - MAXIMAR  ,M2    ,87.47,            ,562.33,49187.01,0.01,99.43,0,54.8
IM1788,ELEVADOR ELÉTRICO SEM CASA DE MÁQUINAS - 2 PARADAS  ,UN    ,1,            ,48458.63,48458.63,0.01,99.44,0,54.8
IM1560,"FORNECIMENTO, INSTALAÇÃO, CONFIGURAÇÃO, TESTE E COMISSIONAMENTO DE DETECTOR DE FUMAÇA ÓPTICO EM TETO ENDEREÇÁVEL.  ",UN    ,75,            ,624.98,46873.5,0.01,99.45,0,54.8
IM1625,CARRETEL DE MANGUEIRA SEMI-RÍGIDA (MANGOTINHO) L=30M E Ø25MM  ,UN    ,30,            ,1551.13,46533.9,0.01,99.46,0,54.8
IM1658,CABO AFT POLARIZADO 1P X 14AWG BLINDADO - LAÇO DE COMUNICAÇÃO  ,M     ,3600,            ,12.4,44640,0.01,99.47,0,54.8
IM1314,"POSTE COMPOSTO PARA SINALIZAÇÃO, DE ACORDO COM A CET-29  ",UN    ,21,            ,2115.38,44422.98,0.01,99.48,0,54.8
IM1307,SUPORTE DE PLACAS DE SOLO ECOLÓGICO E COLAPSIVEL 75X75 mm  ,M     ,973,            ,45.63,44397.99,0.01,99.49,0,54.8
IM1427,"CAIXA PARA REDE DE DUTOS, TIPO ""F"" COM TAMPA DE CONCRETO  ",UN    ,97,            ,450.38,43686.86,0.01,99.5,0,54.8
IM1111,LUVA E PINO  DE PRENSAGEM Ø16MM  ,UN    ,3842.34,            ,11.2,43034.21,0.01,99.51,0,54.8
IM1367,"CONDUITE SEMI-FLEXIVEL CORRUGADO, FABRICADO EM POLIETILENO DE ALTA DENSIDADE (PEAD), Ø4”.  ",M     ,10090,            ,4.22,42579.8,0.01,99.52,0,54.8
IM1356,PINTURA TUBULAÇÃO AÇO GALVANIZADO Ø 100 mm - VERMELHO SEGURANÇA  ,M     ,1707.67,            ,24.86,42452.68,0.01,99.53,0,54.8
IM1567,"FORNECIMENTO, INSTALAÇÃO, TESTE, CONFIGURAÇÃO E COMISSIONAMENTO DE CENTRAL DE DETECÇÃO E ALARME DE INCÊNDIO (PRINCIPAL/ MESTRE), COMPOSTA DE CENTRAL DE LAÇO DE INCÊNDIO (CLASSE A) E DISPLAY COM TECLADO MODELO, COM CAPACIDADE MÍNIMA DE 4 LAÇOS INTELIGENTES ENDEREÇÁVEIS.  ",CJ    ,1,            ,40919.93,40919.93,0.01,99.54,0,54.8
IM1720,CA.17 - CAIXILHO EM ALUMÍNIO ANODIZADO - DE CORRER  ,M2    ,72.65,            ,562.33,40853.27,0.01,99.55,0,54.8
IM1659,"CABO DE ÁUDIO POLARIZADO - 2 X 2,5mm² / 12 AWG BLD  ",M     ,4000,            ,10.16,40640,0.01,99.56,0,54.8
IM0620,PROTETOR DE CURA DO CONCRETO  ,KG    ,11162.0025,            ,3.63,40518.07,0.01,99.57,0,54.8
IM1602,"VIDEO WALL 2 X 2 DISPLAYS DE LED COM BORDA FINA DE 46""  ",CJ    ,1,            ,40288.7,40288.7,0.01,99.58,0,54.8
IM1528,"CENTRAL DE ATENDIMENTO AO USUÁRIO, COMPOSTA DE ESTAÇÃO DE CHAMADA DE MESA E MICROFONE PRIORITÁRIO (CENTRAL DE ATENDIMENTO AO USUÁRIO)  ",CJ    ,1,            ,40076.07,40076.07,0.01,99.59,0,54.8
IM1556,"DISTRIBUIDOR INTERNO ÓPTICO COMPLETO DE 144 FIBRAS EM RACK DE 19""  ",UN    ,8,            ,4990.1,39920.8,0.01,99.6,0,54.8
IM1462,"QUADRO DE DISTRIBUIÇÃO DE FORÇA ""QFBD-R2, R3 e R5"", 460/265V, COMPLETA COM DISJUNTORES, BOMBA DE DRENAGEM – EQUIPAMENTO ELÉTRICO E DIAGRAMA UNIFILAR  ",CJ    ,3,            ,13304.3,39912.9,0.01,99.61,0,54.8
IM1463,"QUADRO DE DISTRIBUIÇÃO DE FORÇA ""QFBD-R6, R7 e R5.1"", 460/265V, COMPLETA COM DISJUNTORES, BOMBA DE DRENAGEM – EQUIPAMENTO ELÉTRICO E DIAGRAMA UNIFILAR  ",CJ    ,3,            ,13304.3,39912.9,0.01,99.62,0,54.8
IM1591,SOFTWARE E LICENÇA DE SUPERVISÃO E CONTROLE - SCADA  ,CJ    ,1,            ,39583.05,39583.05,0.01,99.63,0,54.8
IM1742,EMBOÇO EXTERNO - ARGAMASSA DE CIMENTO E AREIA 1:3  ,M2    ,1871.96,            ,21.03,39367.32,0,99.63,0,54.8
IM1405,"ELETRODUTO DE AÇO GALVANIZADO A FOGO, ROSCA BSP, TIPO PESADO, CONFORME NBR-5598, COM LUVA EM UMA DAS EXTREMIDADES, FORNECIDO EM BARRAS DE 3000 MM DE COMPRIMENTO, BITOLA Ø4”  ",M     ,1140,            ,33.44,38121.6,0,99.63,0,54.8
IM1523,CABO ÓPTICO MONOMODO - OUTDOOR/ INDOOR 2FO PRÉ-CONECTORIZADO (SCE)  ,M     ,5020,            ,7.38,37047.6,0,99.63,0,54.8
IM1310,"BPC - BRAÇO PROJETADO EM COLUNA (SINALIZAÇÃO VERTICAL) - PP DA CET-SP - ""A2-191-DSV3 - COLUNA E BRAÇO 5x5,25  ",UN    ,22,            ,1615.38,35538.36,0,99.63,0,54.8
IM1688,"PAINEL DE MENSAGENS VARIÁVEIS INTERNO COM DIMENSÕES MÍNIMAS DE 4,0M DE LARGURA E 0,4M DE ALTURA – MATRIZ COMPLETA (FULL MATRIX) EM TEXTO/ 2 LINHAS - LED – COR ÂMBAR  ",UN    ,2,            ,17736.54,35473.08,0,99.63,0,54.8
IM0320,PREGOS DE FERRO 18X30  ,KG    ,7216.889032,            ,4.87,35146.52,0,99.63,0,54.8
IM1584,"RACK 19"" DE 44U, COM ACESSÓRIOS DE FIXAÇÃO E VENTILADOR, COM PORTA FRONTAL COM VISOR VIDRO/ACRÍLICO, PLACAS DE FECHAMENTO LATERAIS COM ALETAS DE VENTILAÇÃO, PLACA TRASEIRA REMOVÍVEL E BANDEJAS DESLIZANTE.  ",CJ    ,8,            ,4371.17,34969.36,0,99.63,0,54.8
IM0202,CIMENTO PORTLAND CP II-32  ,KG    ,90817.664,            ,0.38,34510.71,0,99.63,0,54.8
IM1650,"ELETROCALHA PARA CABOS, COM TAMPA EM CHAPA DE AÇO GALVANIZADO A FOGO, TIPO PESADO, COMPRIMENTO DE 3000 MM: 400 X 100 COM 1 DIVISÓRIA (ILUMINAÇÃO)  ",M     ,800,            ,42.87,34296,0,99.63,0,54.8
IM1667,CONJUNTO CAIXA TÉCNICA P/ CALLBOX (QUADRO + TRANSFORMADOR + RÉGUA E ACESSÓRIOS)  ,CJ    ,54,            ,627.04,33860.16,0,99.63,0,54.8
IM1687,"INTERFACE REMOTA DO CONJUNTO DO SENSOR DE CO, NOX E OPACÍMETRO COMPLETO E INSTALADO  ",CJ    ,4,            ,8454.63,33818.52,0,99.63,0,54.8
IM1546,"CONJUNTO COM 02 CANCELAS AUTOMÁTICAS COM BRAÇOS ARTICULÁVEIS E COMANDO ELETRÔNICO, COMPLETO E INSTALADO  ",CJ    ,2,            ,16897.56,33795.12,0,99.63,0,54.8
IM1908,"PROTEÇÃO CATÓDICA, ATRAVÉS DO SISTEMA DE ANODO DE SACRIFÍCIO DE ALUMÍNIO, PARA OS ELEMENTOS ESTRUTURAIS APARENTES DE AÇO LOCALIZADOS NAS JUNTAS DE IMERSÃO  ",KG    ,1140,            ,28.3,32262,0,99.63,0,54.8
IM1814,BOMBA HIDRÁULICA AP-500 (220V TRIFÁSICO)  ,DIA   ,452.04,            ,70,31642.8,0,99.63,0,54.8
IM1399,"SE-R1 E SE-R4, SUBESTAÇÃO POSTO SIMPLIFICADO COM TRANSFORMADOR ABRIGADO DE 300 KVA, 13,8KV-460/265V MEDIÇÃO EM BAIXA TENSÃO PARA ILUMINAÇÃO DA PASSAGEM INFERIOR E RESERVATÓRIO  ",UN    ,2,            ,15723.26,31446.52,0,99.63,0,54.8
IM1593,"SUB-BASTIDOR DE 19” PARA 15 INTERFACES ÓPTICAS COM FONTES DE ALIMENTAÇÃO, COMPLETO E INSTALADO  ",CJ    ,7,            ,4486.1,31402.7,0,99.63,0,54.8
IM1536,CONJUNTO CAIXA TÉCNICA P/ CÂMERA MÓVEL (QUADRO + TRANSFORMADOR + RÉGUA E ACESSÓRIOS)  ,CJ    ,9,            ,3317.51,29857.59,0,99.63,0,54.8
IM1530,CENTRAL DE TELEFONIA - PABX IP  ,CJ    ,1,            ,29555.34,29555.34,0,99.63,0,54.8
IM1520,"CABO DE ÁUDIO POLARIZADO - 2 X 2,5mm² / 12 AWG BLD  ",M     ,3650,            ,8.08,29492,0,99.63,0,54.8
IM1758,"ACABAMENTO PARA DEGRAU DE ESCADA EM PISO CIMENTÍCIO, VIBROPRENSADO A 240 TON - ALTA RESISTÊNCIA - ESPESSURA 2 cm - ANTIDERRAPANTE - LAVAGGIO - SELADO  ",M     ,287,            ,102.24,29342.88,0,99.63,0,54.8
IM1580,"PAINEL DE MENSAGENS VARIÁVEIS INTERNO COM DIMENSÕES MÍNIMAS DE 4,0M DE LARGURA E 0,4M DE ALTURA – MATRIZ COMPLETA (FULL MATRIX) EM TEXTO/ 2 LINHAS - LED – COR ÂMBAR  ",UN    ,2,            ,14513.78,29027.56,0,99.63,0,54.8
IM1649,"LUMINARIA BLINDADA COM UMA LÂMPADA ELETRÔNICA DE 25W-220V, À PROVA DE TEMPO, GASES, VAPORES E PÓ, COM PROTEÇÃO E GRADE DE ALUMÍNIO FUNDIDO E VIDRO TRANSPARENTE, CUSTOMIZADA ANTI VANDALISMO  ",CJ    ,140,            ,206.09,28852.6,0,99.63,0,54.8
IM1131,"TUBO DE CONCRETO D= 0,60m CLASSE PA-4  ",M     ,256,            ,112,28672,0,99.63,0,54.8
IM0349,DENTE P/ FRESADORA W-1900  ,UN    ,1331.6336,            ,21.47,28590.17,0,99.63,0,54.8
IM1429,"CONJUNTO DE SEGURANÇA DIAZED COMPOSTO DE BASE, PARAFUSOS DE AJUSTE, FUSÍVEL 4A RÁPIDO, ANEL DE PROTEÇÃO E TAMPA  PARA TENSÕES DE 500V.  ",CJ    ,752,            ,37.61,28282.72,0,99.63,0,54.8
IM1127,"TUBO DE CONCRETO D= 0,50m CLASSE PA-3  ",M     ,353.05,            ,80,28244,0,99.63,0,54.8
IM1886,MEDIDOR TRIORTOGONAL DE JUNTAS COM RELÓGIO COMPARADOR  ,UN    ,14,            ,2000,28000,0,99.63,0,54.8
IM1312,"BRAÇO PROJETADO (SINALIZAÇÃO SEMAFÓRICA) - PP'S DA CET - ""CET-21, CET-22, CET-28, CET-28 e CET-36"".  ",UN    ,17,            ,1630.76,27722.92,0,99.63,0,54.8
IM1582,"POSTE DE AÇO GALVANIZADO, TIPO RETO COM BASE E APOIO, H = 5,5 M PARA FIXAÇÃO DOS SENSORES  ",CJ    ,15,            ,1847.2,27708,0,99.63,0,54.8
IM1348,"MANGUEIRA DE FIBRA SINTÉTICA COM REVESTIMENTO INTERNO DE BORRACHA, COM UNIÃO STORZ NAS DUAS EXTREMINDADES - Ø2 1/2"" COM COMPRIMENTO DE 30 METROS  ",UN    ,33,            ,834.27,27530.91,0,99.63,0,54.8
IM1915,PRANCHÃO DE MADEIRA  ,M3    ,27.5,            ,1000,27500,0,99.63,0,54.8
IM1895,REFRIGERAÇÃO DA CONCRETAGEM - STAND BY  ,H     ,4320,            ,6.35,27432,0,99.63,0,54.8
IM1684,"FORNECIMENTO, INSTALAÇÃO, TESTE, CONFIGURAÇÃO E COMISSIONAMENTO DE AVISADOR AUDIOVISUAL DE EVACUAÇÃO DE EMERGÊNCIA + MÓDULO DE CONTROLE ENDEREÇÁVEL + FONTE SEGURA 24VCC.  ",UN    ,15,            ,1824.05,27360.75,0,99.63,0,54.8
IM1813,PRENSA AP-900  ,DIA   ,452.04,            ,60,27122.4,0,99.63,0,54.8
IM1517,BALIZADORES DE FAIXAS – SETA/ XIS  ,CJ    ,5,            ,5396.74,26983.7,0,99.63,0,54.8
IM1428,"CONJUNTO DE 4 CHUMBADORES AÇO ZINCADO 7/8"" X 500MM COM PA SP-176/8/21  ",PÇ    ,308,            ,87.29,26885.32,0,99.63,0,54.8
IM1712,"TELHAS DE ALUMÍNIO PERFIL TRAPEZOIDAL - ESPESSURA 0,8 mm  ",M2    ,766.5,            ,34.83,26697.2,0,99.63,0,54.8
IM0414,"PRANCHÃO 7,5 X 30,0 CM  ",M     ,683.175,            ,38.98,26630.16,0,99.63,0,54.8
IM1460,"QUADRO DE DISTRIBUIÇÃO DE FORÇA ""QFBD-01"", 460/265V, COMPLETA COM DISJUNTORES, BOMBA DE DRENAGEM – EQUIPAMENTO ELÉTRICO E DIAGRAMA UNIFILAR  ",CJ    ,2,            ,13304.3,26608.6,0,99.63,0,54.8
IM1461,"QUADRO DE DISTRIBUIÇÃO DE FORÇA ""QFBD-08/09/10/11"", 460/265V, COMPLETA COM DISJUNTORES, BOMBA DE DRENAGEM – EQUIPAMENTO ELÉTRICO E DIAGRAMA UNIFILAR  ",CJ    ,2,            ,13304.3,26608.6,0,99.63,0,54.8
IM1490,"QUADROS DE LUZ TUNEL QL-1.1 E QL-2.1-2.2, QL-2.3 GALERIA COMPLETA COM DISJUNTORES, CONFORME DOC. ESPECIFICAÇÃO TÉCNICA – EQUIPAMENTO ELÉTRICO E DIAGRAMA UNIFILAR.  ",CJ    ,4,            ,6480.99,25923.96,0,99.63,0,54.8
IM1491,"QUADROS DE LUZ TUNEL QL-3.1 E QL-4.1 4.2, QL-4.3 GALERIA COMPLETA COM DISJUNTORES, CONFORME DOC. ESPECIFICAÇÃO TÉCNICA – EQUIPAMENTO ELÉTRICO E DIAGRAMA UNIFILAR.  ",CJ    ,4,            ,6480.99,25923.96,0,99.63,0,54.8
IM1118,"APARELHO DE ANCORAGEM ATIVO DE 12 FIOS 5/8"" (15,2MM)  ",UN    ,60,            ,430,25800,0,99.63,0,54.8
IM1631,GRELHA DE ALUMÍNIO- MODELO AT-DG-525 X 1225 DA TROX OU EQUIVALENTE  ,UN    ,74,            ,346.37,25631.38,0,99.63,0,54.8
IM1660,CABO DE SINAL AFT – 1P X 12AWG BLINDADO - LAÇO DE INCÊNDIO - CLASSE A  ,M     ,2200,            ,11.6,25520,0,99.63,0,54.8
IM1305,TACHA MONODIRECIONAL COM REFLETIVO PLÁSTICO  ,UN    ,2703,            ,9.42,25462.26,0,99.63,0,54.8
IM1516,APOIO PARA FIXAÇÃO DO CONJUNTO DE BALIZADORES (CONJUNTO COM 3 BALIZADORES)  ,CJ    ,2,            ,12499.44,24998.88,0,99.63,0,54.8
IM1519,CABO AFT POLARIZADO 1P X 14AWG BLINDADO - LAÇO DE COMUNICAÇÃO  ,M     ,2610,            ,9.57,24977.7,0,99.63,0,54.8
IM1770,"FP.02 - GRADIL DE FERRO PERFILADO, TIPO PARQUE COM MURETA - GPM-1/DEPAVE  ",M     ,32.5,            ,766.82,24921.65,0,99.63,0,54.8
IM1747,FORRO EM RÉGUA DE PVC 200 mm - INCLUSIVE PERFIS DE FIXAÇÃO E ACABAMENTO  ,M2    ,777.29,            ,31.92,24811.1,0,99.63,0,54.8
IM1424,CAIXA DE PASSAGEM TIPO F COM TAMPA DE CONCRETO  ,PÇ    ,55,            ,450.38,24770.9,0,99.63,0,54.8
IM1577,"INTERFACE REMOTA DO CONJUNTO DO SENSOR DE CO, NOX E OPACÍMETRO COMPLETO E INSTALADO  ",CJ    ,5,            ,4947.88,24739.4,0,99.63,0,54.8
IM1864,GEOFORMA TEXTIL TENSORIZADA TIPO COLCHÃO - ESPESSURA DE 15CM  ,M2    ,210,            ,114.79,24105.9,0,99.63,0,54.8
IM1831,TELAR E TAMPÃO DE FERRO FUNDIDO  ,UN    ,48,            ,496.04,23809.92,0,99.63,0,54.8
IM1790,FORRO EM ALUMÍNIO  ,M2    ,130,            ,182.87,23773.1,0,99.63,0,54.8
IM1566,"FORNECIMENTO, INSTALAÇÃO, TESTE, CONFIGURAÇÃO E COMISSIONAMENTO DE AVISADOR AUDIOVISUAL DE EVACUAÇÃO DE EMERGÊNCIA + MÓDULO DE CONTROLE ENDEREÇÁVEL + FONTE SEGURA 24VCC.  ",UN    ,30,            ,791.65,23749.5,0,99.63,0,54.8
IM1551,"CONJUNTO SEMÁFORO INTERMITENTE COM 02 LÂMPADAS LED E SUPORTE DE FIXAÇÃO E ACESSÓRIOS, INTEGRADO COM COMANDO ELETRÔNICO DAS CANCELAS, COMPLETO E INSTALADO  ",CJ    ,2,            ,11770.68,23541.36,0,99.63,0,54.8
IM1570,"FORNECIMENTO, MONTAGEM, TESTE, CONFIGURAÇÃO E COMISSIONAMENTO DE SENSOR DE ABERTURA DE PORTA.  ",UN    ,40,            ,584.5,23380,0,99.63,0,54.8
IM1110,"LUVA E PINO  DE PRENSAGEM Ø12,5MM  ",UN    ,2712.24,            ,8.6,23325.26,0,99.63,0,54.8
IM1129,"TUBO DE CONCRETO D= 0,60m CLASSE PA-2  ",M     ,256,            ,90,23040,0,99.63,0,54.8
IM1383,CABO DE COBRE 70 MM² - ISOLAMENTO PARA 1 KV  ,M     ,1650,            ,13.9,22935,0,99.63,0,54.8
IM1313,"POSTE SIMPLES PARA SINALIZAÇÃO, DE ACORDO COM A CET-22  ",UN    ,14,            ,1615.38,22615.32,0,99.63,0,54.8
IM1812,PRENSA AP-400  ,DIA   ,452.04,            ,50,22602,0,99.63,0,54.8
IM1885,LONA DE POLIETILENO 200 micras  ,M2    ,5400,            ,4.15,22410,0,99.63,0,54.8
IM1797,JUNTA/RETRAÇÃO COM LÁBIOS POLIMÉRICOS 15 ATÉ 40 mm  ,M     ,668.23,            ,33.49,22379.02,0,99.63,0,54.8
IM0401,PONTALETES D=15 CM (TRONCO P/ ESC.)  ,M     ,2732.7,            ,7.94,21697.64,0,99.63,0,54.8
IM1651,"TOMADA 2P+T 250v EM CONDULETE 1.1/4""  ",CJ    ,786,            ,27.6,21693.6,0,99.63,0,54.8
IM1521,CABO DE SINAL AFT – 1P X 12AWG BLINDADO - LAÇO DE INCÊNDIO - CLASSE A  ,M     ,2235,            ,9.57,21388.95,0,99.63,0,54.8
IM1385,CABO DE COBRE 150 MM² - ISOLAMENTO PARA 1 KV  ,M     ,640,            ,33.25,21280,0,99.63,0,54.8
IM1618,"MANGUEIRA DE FIBRA SINTÉTICA COM REVESTIMENTO INTERNO DE BORRACHA, COM UNIÃO STORZ NAS DUAS EXTREMINDADES - Ø2 1/2"" COM COMPRIMENTO DE 30 METROS  ",UN    ,30,            ,701.22,21036.6,0,99.63,0,54.8
IM1647,"CONDUTORES DE COBRE, ISOLAÇÃO 760V, BAIXA EMISSÃO DE GASES TÓXICOS QUANDO QUEIMAR, SEÇÃO: 16MM2 SILICONE  ",M     ,2120,            ,9.89,20966.8,0,99.63,0,54.8
IM1315,FORNECIMENTO E INSTALAÇÃO DE CONTROLADOR SEMAFÓRICO DIGITAL  ,UN    ,4,            ,5230.76,20923.04,0,99.63,0,54.8
IM1515,APOIO PARA FIXAÇÃO DO CONJUNTO DE BALIZADORES (CONJUNTO COM 2 BALIZADORES)  ,CJ    ,2,            ,10432.32,20864.64,0,99.63,0,54.8
IM1668,CONJUNTO CAIXA TÉCNICA P/ CÂMERA FIXA (QUADRO + TRANSFORMADOR + RÉGUA E ACESSÓRIOS)  ,CJ    ,33,            ,627.04,20692.32,0,99.63,0,54.8
IM1029,LONA DE POLIETILENO 200 micras  ,M2    ,20592,            ,1,20592,0,99.63,0,54.8
IM1133,"TUBO DE CONCRETO D= 0,80m CLASSE PA-3  ",M     ,123,            ,165,20295,0,99.63,0,54.8
IM1571,GERENCIADOR DE PROCESSAMENTO DE IMAGENS  ,UN    ,1,            ,20231.33,20231.33,0,99.63,0,54.8
IM1104,"MOURÃO DE CONCRETO PRÉ-FABRICADO 9,5x10x250CM  ",UN    ,105,            ,192.38,20199.9,0,99.63,0,54.8
IM1759,"VIDRO LISO COMUM, TRANSPARENTE INCOLOR - ESPESSURA 6 mm  ",M2    ,160.12,            ,125.97,20170.32,0,99.63,0,54.8
IM1840,SISTEMAS DE FIXAÇÃO PARA TUBULAÇÃO (CHUMBADORES E SUPORTES)  ,KG    ,755,            ,26.65,20120.75,0,99.63,0,54.8
IM1852,SINALIZAÇÃO HORIZONTAL COM TERMOPLÁSTICO - HOT-SPRAY  ,M2    ,609,            ,32.54,19816.86,0,99.63,0,54.8
IM0408,"TÁBUA DE 3ª 2,5 CM X 30,0 CM  ",M     ,2759.598104,            ,6.86,18930.84,0,99.63,0,54.8
IM1342,"VÁLVULA DE RETENÇÃO EM BRONZE OU LATÃO, CLASSE 200LBS, MONTAGEM NA HORIZONTAL - Ø100MM  ",UN    ,16,            ,1175.32,18805.12,0,99.63,0,54.8
IM1846,SISTEMAS DE FIXAÇÃO PARA TUBULAÇÃO (CHUMBADORES E SUPORTES)  ,KG    ,700,            ,26.65,18655,0,99.63,0,54.8
IM1552,"CONJUNTO SENSOR ÓPTICO DE CO, NOX E OPACÍMETRO COMPLETO E INSTALADO  ",CJ    ,5,            ,3725.41,18627.05,0,99.63,0,54.8
IM1656,APOIO DE FIXAÇÃO DA CÂMERA MÓVEL INTERNO EM TÚNEL  ,CJ    ,8,            ,2317.45,18539.6,0,99.63,0,54.8
IM1766,APLICAÇÃO DE VERNIZ ANTI-PICHAÇÃO - BASE SOLVENTE - 2 DEMÃOS (REMOÇÃO DA PICHAÇÃO SOMENTE A SECO OU COM ÁGUA E SABÃO)  ,M2    ,1703,            ,10.84,18460.52,0,99.63,0,54.8
IM1397,HASTE PARA TERRA FABRICADA EM NÚCLEO DE AÇO COBERTURA DE COBRE COMPLETAMENTE SOLDADO A MESMA DIMENSÃO Ø5/8” X 3000 MM  ,PÇ    ,399,            ,45.95,18334.05,0,99.63,0,54.8
IM1829,"TUBO DE FºFº - PONTA E BOLSA, CLASSE K7,DN 150MM  ",M     ,46,            ,397.73,18295.58,0,99.63,0,54.8
IM1526,"CABO VM 0,6/1KV(PT/VM) - 1X 2C X2,5 MM² - ALIMENTAÇÃO 24VCC  ",M     ,2310,            ,7.9,18249,0,99.63,0,54.8
IM1121,TUBO PEAD (HDPE) D = 200mm  ,M     ,68,            ,267,18156,0,99.63,0,54.8
